"Time (CET/CEST)","Situation - SCA|NL","Open loop control area error [MW] - SCA|NL"
"01.04.2021 00:00 - 01.04.2021 00:01","Surplus","245.93"
"01.04.2021 00:01 - 01.04.2021 00:02","Surplus","92.23"
"01.04.2021 00:02 - 01.04.2021 00:03","Deficit","36.38"
"01.04.2021 00:03 - 01.04.2021 00:04","Deficit","62.09"
"01.04.2021 00:04 - 01.04.2021 00:05","Deficit","33.20"
"01.04.2021 00:05 - 01.04.2021 00:06","Deficit","36.06"
"01.04.2021 00:06 - 01.04.2021 00:07","Deficit","13.52"
"01.04.2021 00:07 - 01.04.2021 00:08","Deficit","15.57"
"01.04.2021 00:08 - 01.04.2021 00:09","Deficit","12.91"
"01.04.2021 00:09 - 01.04.2021 00:10","Deficit","3.20"
"01.04.2021 00:10 - 01.04.2021 00:11","Surplus","0.12"
"01.04.2021 00:11 - 01.04.2021 00:12","Surplus","2.69"
"01.04.2021 00:12 - 01.04.2021 00:13","Deficit","7.93"
"01.04.2021 00:13 - 01.04.2021 00:14","Surplus","1.56"
"01.04.2021 00:14 - 01.04.2021 00:15","Deficit","10.17"
"01.04.2021 00:15 - 01.04.2021 00:16","Surplus","4.28"
"01.04.2021 00:16 - 01.04.2021 00:17","Deficit","30.39"
"01.04.2021 00:17 - 01.04.2021 00:18","Deficit","56.56"
"01.04.2021 00:18 - 01.04.2021 00:19","Deficit","75.95"
"01.04.2021 00:19 - 01.04.2021 00:20","Deficit","55.36"
"01.04.2021 00:20 - 01.04.2021 00:21","Deficit","51.92"
"01.04.2021 00:21 - 01.04.2021 00:22","Deficit","39.32"
"01.04.2021 00:22 - 01.04.2021 00:23","Deficit","22.45"
"01.04.2021 00:23 - 01.04.2021 00:24","Deficit","4.41"
"01.04.2021 00:24 - 01.04.2021 00:25","Deficit","27.25"
"01.04.2021 00:25 - 01.04.2021 00:26","Surplus","1.24"
"01.04.2021 00:26 - 01.04.2021 00:27","Surplus","1.06"
"01.04.2021 00:27 - 01.04.2021 00:28","Surplus","12.53"
"01.04.2021 00:28 - 01.04.2021 00:29","Surplus","11.67"
"01.04.2021 00:29 - 01.04.2021 00:30","Surplus","13.46"
"01.04.2021 00:30 - 01.04.2021 00:31","Surplus","8.25"
"01.04.2021 00:31 - 01.04.2021 00:32","Deficit","4.32"
"01.04.2021 00:32 - 01.04.2021 00:33","Deficit","9.58"
"01.04.2021 00:33 - 01.04.2021 00:34","Surplus","16.73"
"01.04.2021 00:34 - 01.04.2021 00:35","Deficit","10.07"
"01.04.2021 00:35 - 01.04.2021 00:36","Surplus","6.97"
"01.04.2021 00:36 - 01.04.2021 00:37","Surplus","6.13"
"01.04.2021 00:37 - 01.04.2021 00:38","Surplus","3.87"
"01.04.2021 00:38 - 01.04.2021 00:39","Surplus","8.83"
"01.04.2021 00:39 - 01.04.2021 00:40","Deficit","0.04"
"01.04.2021 00:40 - 01.04.2021 00:41","Deficit","2.44"
"01.04.2021 00:41 - 01.04.2021 00:42","Surplus","3.90"
"01.04.2021 00:42 - 01.04.2021 00:43","Surplus","7.36"
"01.04.2021 00:43 - 01.04.2021 00:44","Deficit","14.47"
"01.04.2021 00:44 - 01.04.2021 00:45","Surplus","8.68"
"01.04.2021 00:45 - 01.04.2021 00:46","Deficit","9.89"
"01.04.2021 00:46 - 01.04.2021 00:47","Deficit","26.71"
"01.04.2021 00:47 - 01.04.2021 00:48","Deficit","39.00"
"01.04.2021 00:48 - 01.04.2021 00:49","Deficit","34.69"
"01.04.2021 00:49 - 01.04.2021 00:50","Deficit","59.00"
"01.04.2021 00:50 - 01.04.2021 00:51","Deficit","32.57"
"01.04.2021 00:51 - 01.04.2021 00:52","Deficit","43.17"
"01.04.2021 00:52 - 01.04.2021 00:53","Surplus","8.92"
"01.04.2021 00:53 - 01.04.2021 00:54","Deficit","5.12"
"01.04.2021 00:54 - 01.04.2021 00:55","Surplus","5.02"
"01.04.2021 00:55 - 01.04.2021 00:56","Surplus","2.27"
