"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Generation / - Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Price for consumption [Currency/MWh] - SCA|DE(TenneT GER)","Currency","Status","Total Imbalance [MWh] - SCA|DE(TenneT GER)","Difference","Situation","Status"
"01.01.2021 00:00 - 01.01.2021 00:15","n/e","n/e","n/e","n/e","n/e","80","-1","Surplus","Final"
"01.01.2021 00:15 - 01.01.2021 00:30","n/e","n/e","n/e","n/e","n/e","52","7","Surplus","Final"
"01.01.2021 00:30 - 01.01.2021 00:45","n/e","n/e","n/e","n/e","n/e","5","-2","Surplus","Final"
"01.01.2021 00:45 - 01.01.2021 01:00","n/e","n/e","n/e","n/e","n/e","12","2","Surplus","Final"
"01.01.2021 01:00 - 01.01.2021 01:15","n/e","n/e","n/e","n/e","n/e","48","-4","Deficit","Final"
"01.01.2021 01:15 - 01.01.2021 01:30","n/e","n/e","n/e","n/e","n/e","19","2","Deficit","Final"
"01.01.2021 01:30 - 01.01.2021 01:45","n/e","n/e","n/e","n/e","n/e","23","-1","Deficit","Final"
"01.01.2021 01:45 - 01.01.2021 02:00","n/e","n/e","n/e","n/e","n/e","28","6","Deficit","Final"
"01.01.2021 02:00 - 01.01.2021 02:15","n/e","n/e","n/e","n/e","n/e","10","-2","Deficit","Final"
"01.01.2021 02:15 - 01.01.2021 02:30","n/e","n/e","n/e","n/e","n/e","17","6","Deficit","Final"
"01.01.2021 02:30 - 01.01.2021 02:45","n/e","n/e","n/e","n/e","n/e","21","3","Deficit","Final"
"01.01.2021 02:45 - 01.01.2021 03:00","n/e","n/e","n/e","n/e","n/e","28","3","Deficit","Final"
"01.01.2021 03:00 - 01.01.2021 03:15","n/e","n/e","n/e","n/e","n/e","13","-5","Deficit","Final"
"01.01.2021 03:15 - 01.01.2021 03:30","n/e","n/e","n/e","n/e","n/e","8","4","Surplus","Final"
"01.01.2021 03:30 - 01.01.2021 03:45","n/e","n/e","n/e","n/e","n/e","10","5","Deficit","Final"
"01.01.2021 03:45 - 01.01.2021 04:00","n/e","n/e","n/e","n/e","n/e","6","1","Surplus","Final"
"01.01.2021 04:00 - 01.01.2021 04:15","n/e","n/e","n/e","n/e","n/e","17","1","Deficit","Final"
"01.01.2021 04:15 - 01.01.2021 04:30","n/e","n/e","n/e","n/e","n/e","5","2","Deficit","Final"
"01.01.2021 04:30 - 01.01.2021 04:45","n/e","n/e","n/e","n/e","n/e","11","-2","Deficit","Final"
"01.01.2021 04:45 - 01.01.2021 05:00","n/e","n/e","n/e","n/e","n/e","12","-1","Deficit","Final"
"01.01.2021 05:00 - 01.01.2021 05:15","n/e","n/e","n/e","n/e","n/e","8","-5","Surplus","Final"
"01.01.2021 05:15 - 01.01.2021 05:30","n/e","n/e","n/e","n/e","n/e","35","4","Surplus","Final"
"01.01.2021 05:30 - 01.01.2021 05:45","n/e","n/e","n/e","n/e","n/e","20","2","Surplus","Final"
"01.01.2021 05:45 - 01.01.2021 06:00","n/e","n/e","n/e","n/e","n/e","10","4","Surplus","Final"
"01.01.2021 06:00 - 01.01.2021 06:15","n/e","n/e","n/e","n/e","n/e","1","2","Surplus","Final"
"01.01.2021 06:15 - 01.01.2021 06:30","n/e","n/e","n/e","n/e","n/e","3","3","Surplus","Final"
"01.01.2021 06:30 - 01.01.2021 06:45","n/e","n/e","n/e","n/e","n/e","7","2","Deficit","Final"
"01.01.2021 06:45 - 01.01.2021 07:00","n/e","n/e","n/e","n/e","n/e","34","2","Deficit","Final"
"01.01.2021 07:00 - 01.01.2021 07:15","n/e","n/e","n/e","n/e","n/e","35","3","Deficit","Final"
