"ISP (UTC)","Reserve Type","Source","Type of Product","Price Type","Load Up Price [EUR/MWh] - SCA|NL","Load Down Price [EUR/MWh] - SCA|NL","Generation Up Price [EUR/MWh] - SCA|NL","Generation Down Price [EUR/MWh] - SCA|NL","Not specified Up Price [EUR/MWh] - SCA|NL","Not specified Down Price [EUR/MWh] - SCA|NL"
"01.01.2021 00:00 - 01.01.2021 00:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","31.59"
"01.01.2021 00:15 - 01.01.2021 00:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 00:30 - 01.01.2021 00:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 00:45 - 01.01.2021 01:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 01:00 - 01.01.2021 01:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.59"
"01.01.2021 01:15 - 01.01.2021 01:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","15.00"
"01.01.2021 01:30 - 01.01.2021 01:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","11.94"
"01.01.2021 01:45 - 01.01.2021 02:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","11.94"
"01.01.2021 02:00 - 01.01.2021 02:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","11.79"
"01.01.2021 02:15 - 01.01.2021 02:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","21.79"
"01.01.2021 02:30 - 01.01.2021 02:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-73.50"
"01.01.2021 02:45 - 01.01.2021 03:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-4.82"
"01.01.2021 03:00 - 01.01.2021 03:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","36.56"
"01.01.2021 03:15 - 01.01.2021 03:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","36.56"
"01.01.2021 03:30 - 01.01.2021 03:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","31.59"
"01.01.2021 03:45 - 01.01.2021 04:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-8.45"
"01.01.2021 04:00 - 01.01.2021 04:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","36.55"
"01.01.2021 04:15 - 01.01.2021 04:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","26.59"
"01.01.2021 04:30 - 01.01.2021 04:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.05"
"01.01.2021 04:45 - 01.01.2021 05:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.02"
"01.01.2021 05:00 - 01.01.2021 05:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-19.70"
"01.01.2021 05:15 - 01.01.2021 05:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.24"
"01.01.2021 05:30 - 01.01.2021 05:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.00"
"01.01.2021 05:45 - 01.01.2021 06:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","36.69"
"01.01.2021 06:00 - 01.01.2021 06:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 06:15 - 01.01.2021 06:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 06:30 - 01.01.2021 06:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","40.28"
"01.01.2021 06:45 - 01.01.2021 07:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 07:00 - 01.01.2021 07:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-120.41"
"01.01.2021 07:15 - 01.01.2021 07:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-158.73"
"01.01.2021 07:30 - 01.01.2021 07:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","8.00"
"01.01.2021 07:45 - 01.01.2021 08:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","1.27"
"01.01.2021 08:00 - 01.01.2021 08:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","10.00"
"01.01.2021 08:15 - 01.01.2021 08:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-122.88"
"01.01.2021 08:30 - 01.01.2021 08:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","7.00"
"01.01.2021 08:45 - 01.01.2021 09:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","37.24"
"01.01.2021 09:00 - 01.01.2021 09:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","37.24"
"01.01.2021 09:15 - 01.01.2021 09:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","37.24"
"01.01.2021 09:30 - 01.01.2021 09:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","39.67"
"01.01.2021 09:45 - 01.01.2021 10:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 10:00 - 01.01.2021 10:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 10:15 - 01.01.2021 10:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 10:30 - 01.01.2021 10:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 10:45 - 01.01.2021 11:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","26.24"
"01.01.2021 11:00 - 01.01.2021 11:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","19.24"
"01.01.2021 11:15 - 01.01.2021 11:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-119.22"
"01.01.2021 11:30 - 01.01.2021 11:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","20.54"
"01.01.2021 11:45 - 01.01.2021 12:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-84.93"
"01.01.2021 12:00 - 01.01.2021 12:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-124.51"
"01.01.2021 12:15 - 01.01.2021 12:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","31.24"
"01.01.2021 12:30 - 01.01.2021 12:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-1.88"
"01.01.2021 12:45 - 01.01.2021 13:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","5.49"
"01.01.2021 13:00 - 01.01.2021 13:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","31.31"
"01.01.2021 13:15 - 01.01.2021 13:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 13:30 - 01.01.2021 13:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","29.44"
"01.01.2021 13:45 - 01.01.2021 14:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","10.00"
"01.01.2021 14:00 - 01.01.2021 14:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","-61.59"
"01.01.2021 14:15 - 01.01.2021 14:30","aFRR","Not Specified","N/A","AVERAGE","","","","","43.42","0.00"
"01.01.2021 14:30 - 01.01.2021 14:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","39.82"
"01.01.2021 14:45 - 01.01.2021 15:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 15:00 - 01.01.2021 15:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","35.56"
"01.01.2021 15:15 - 01.01.2021 15:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","4.57"
"01.01.2021 15:30 - 01.01.2021 15:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 15:45 - 01.01.2021 16:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 16:00 - 01.01.2021 16:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","19.24"
"01.01.2021 16:15 - 01.01.2021 16:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 16:30 - 01.01.2021 16:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","41.48"
"01.01.2021 16:45 - 01.01.2021 17:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 17:00 - 01.01.2021 17:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 17:15 - 01.01.2021 17:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 17:30 - 01.01.2021 17:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"01.01.2021 17:45 - 01.01.2021 18:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
